persona,user_id,age,is_urban,is_weekend_rider,is_rain_rider,is_airport_trip,is_rush_hour,payment_type,passenger_count,monthly_rides_history,recency_days,preferred_hour,Y0,Y1,ite_realized,cate_true,treatment_rand,Y_rand,treatment_obs,propensity_true,Y_obs,avg_fare_per_trip,gross_revenue_30d,discount_cost_30d,net_contribution,y_obs,fare_rand
Suburban Card,1,36,0,0,0,0,0,1,2,9,11,4,6,0,-6,0.9695,1,0,0,0.612549,6,9.3,0.0,0.0,0.0,0,0.0
Urban Regulars,2,39,1,1,0,0,0,2,2,0,9,12,0,7,7,1.9864,0,0,0,0.335195,0,15.65,0.0,0.0,0.0,0,0.0
Suburban Card,3,33,0,1,0,0,0,1,1,3,12,14,1,0,-1,1.5131,0,1,0,0.40762,1,25.07,25.07,0.0,17.55,1,25.07
Suburban Card,4,37,0,1,0,0,0,1,2,8,16,3,7,1,-6,1.0372,0,7,0,0.467145,7,37.13,259.91,0.0,181.94,7,259.91
Urban Regulars,5,22,1,0,0,0,1,2,1,0,5,17,6,3,-3,0.4796,0,6,1,0.311644,3,23.62,141.72,0.0,99.2,6,141.72
Suburban Cash,6,43,0,0,0,0,0,2,1,3,13,10,4,9,5,0.8303,1,9,0,0.253664,4,58.4,525.6,27.0,340.92,9,525.6
Suburban Cash,7,32,0,1,0,0,0,2,1,0,13,15,0,0,0,1.6533,1,0,0,0.140742,0,21.56,0.0,0.0,0.0,0,0.0
Suburban Cash,8,25,0,1,0,0,0,2,1,2,18,6,1,5,4,1.2501,0,1,1,0.337563,5,39.82,39.82,0.0,27.87,1,39.82
Airport Business,9,33,1,1,0,1,1,2,1,3,3,17,5,25,20,0.1486,0,5,0,0.526368,5,55.46,277.3,0.0,194.11,5,277.3
Urban Regulars,10,27,1,0,0,0,0,2,1,4,1,16,10,15,5,0.3441,0,10,0,0.914817,10,9.5,95.0,0.0,66.5,10,95.0
Urban Regulars,11,32,1,1,0,0,0,2,1,0,4,20,0,7,7,1.7827,0,0,1,0.542458,7,12.38,0.0,0.0,0.0,0,0.0
Suburban Card,12,53,0,0,0,0,1,1,3,0,17,9,0,0,0,0.9742,0,0,0,0.007034,0,52.84,0.0,0.0,0.0,0,0.0
Suburban Cash,13,24,0,0,0,0,1,2,1,6,15,9,10,0,-10,0.3034,0,10,0,0.26971,10,9.4,94.0,0.0,65.8,10,94.0
Suburban Cash,14,28,0,0,0,0,0,2,2,0,11,21,0,4,4,1.018,1,4,0,0.198998,0,34.82,139.28,12.0,85.5,4,139.28
Urban Regulars,15,31,1,0,0,0,1,2,1,0,9,7,5,0,-5,0.7104,0,5,0,0.156076,5,40.7,203.5,0.0,142.45,5,203.5
Urban Regulars,16,27,1,1,0,0,1,2,3,3,4,8,8,11,3,0.1607,1,11,1,0.59733,11,30.13,331.43,33.0,199.0,11,331.43
Urban Regulars,17,20,1,0,0,0,0,2,1,7,4,5,10,13,3,0.5768,1,13,1,0.954174,13,17.15,222.95,33.44,122.62,13,222.95
Rain Riders,18,25,1,1,1,0,1,2,3,8,7,7,17,9,-8,0.3031,0,17,1,0.473368,9,20.48,348.16,0.0,243.71,17,348.16
Suburban Cash,19,31,0,1,0,0,0,2,1,0,4,16,0,3,3,1.8055,1,3,0,0.270746,0,18.95,56.85,8.53,31.26,3,56.85
